FARRINGTON'S FARM SHOP & RESTAURANT,01761 452266,51.29653,-2.52598,BS39 6UB,Home Farm,Main Street,Bath and NE Somerset,"","",Mon-Sat: 08.00-19.00. Sun & Bank Hols: 09.00-17.00,"February,March,April,May,June,July,August,September,October,November,December,January","",http://www.farringtons.co.uk,"",1,1,1,"","","",1,"",1,1,1,1,"","",1,"",1,1,"","","","Farm Shop,On-farm Cafe,Butchery,Deli,Toilets,Parking,Fish counter,Christmas Trees,Farm Attraction","Bread,Eggs,Honey,Preserves,Fruit,Cream,Cakes,Vegetables,Pies,Cheese,Meat - poultry,Juices,Game,Frozen items,Organic foods,Meat - beef,Sausages,Meat - bacon,Herbs,Asparagus,Meat - lamb,Fish,Wine,Beer,Ready-to-eat meals,Chrismas Trees,Turkeys,Gifts",FARMA Farm Retailer of the Year 2004FARMA Farm Retailer of the Year 2012,Andy and Tish Jeffery,""
MOSELEY FARMERS' MARKET,0121 449 3156,52.44685,-1.886945,B13 8HW,"","",Birmingham,"","",9.00-15.00,"February,March,April,May,June,July,August,September,October,November,December,January","",http://www.moseleyfarmersmarket.org.uk,"","","","","","","","","",1,"","","","","","","","","","","","","","",FARMA Farmers' Market of the Year 2012,David Isgrove,""
QUEENS PARK FARMERS' MARKET,020 7833 0338,51.536741,-0.20620,NW6 6RG,"","",London and M25,"","",10.00-14.00.  Tues 23 Dec 12.00-14.00,"February,March,April,May,June,July,August,September,October,November,December,January","",http://www.lfm.org.uk,"","","","","","","","","",1,"","","","","","","","","","","","","","",FARMA Farmers' Market of the Year 2012,Cheryl Cohen,""
RECTORY FARM,01865 351677,51.77988,-1.16856,OX33 1HF,Stanton St John,Oxford,Oxfordshire,"","",Mon-Sun:9.30-19.00,"February,March,April,May,June,July,August,September,October,November,December,January","",http://www.kbsuk.com/demo/rectoryfarm/,"","","","","","","","","",1,"",1,"","","","",1,1,"","","",Asparagus. Lettuce. Ready picked to order/delivery.,"Farm Shop,Pick Your Own,Attends Farmers' Markets","",FARMA Pick Your Own Farm of the Year 2012,Richard and Carla Stanley,""
ESSINGTON FRUIT FARM,01902 735724,52.63136,-2.059764,WV11 2AZ,Bognop Road,Essington,Staffordshire,"","",Tues-Sun 9.00-5.00 Mon-Sun 9.00-8.00 during PYO season - Check website for details,"February,March,April,May,June,July,August,September,October,November,December,January","",http://www.essingtonfarm.co.uk,"",1,"",1,"","","","","",1,"","","","","","",1,1,"","","",Extensive PYO. Home made bakery. Pumpkins and squash. Country tea room,"Farm Shop,Pick Your Own,On-farm Cafe,Maze,Attends Farmers' Markets,Farm Attraction","Bread,Eggs,Preserves,Fruit,Vegetables",FARMA Own & Local Farm Retailer of the Year 2012,Richard and Mary Simkin,""
KILNFORD BARNS,01387 720207,55.07596,-4.141837,DG2 9TR,Ingleston,Irongray,Dumfries and Galloway,"","","","February,March,April,May,June,July,August,September,October,November,December,January","","","","","","","","","","","",1,"","","","","","","",1,"","","","",Farm Shop,"",FARMA Rising Star 2012,John Rome,""
HOPETOUN FARM SHOP,01506 830716,55.98076421835619,-3.4813807407837203,EH52 6QZ,Hopetoun Woods,Newton,West Lothian,"","","The Hopetoun Farm Shop is open 7 days a week with a fabulous range of fresh, locally-sourced produce.  Opening hours are:Mon - Sun: 10.00am - 5.00pm","February,March,April,May,June,July,August,September,October,November,December,January","",http://www.hopetoun.co.uk/Farm-shop-home.html,"","",1,"","","","",1,"",1,"","","","","","","",1,"","","","Buy the best of food and drink that Scotland has to offer - premium quality at affordable  prices. Try the range of  ""Scotland's Finest Food"", carefully selected  by Lord and Lady Hopetoun.  Beef, lamb, game and poultry are reared on  the fields of the Estate. Hopetoun Farm Shop is a custom-designed,  delightful food shopping environment with dedicated Butcher,  Delicatessen, Bakery and Fresh Vegetable Counters and a delicious range  of Hopetoun's specially prepared meals. The location in a wooded setting  just off the A904 is only five minutes drive from the Forth Road  Bridge.","Farm Shop,Butchery,Deli","",Winner of FARMA 2012 Rising Star Award.,Michael Eagers,""
ROB ROYD FARM SHOP,01226 248662,53.46969,-1.34396,S70 6NW,Rob Royd Farm,Genn Lane,South Yorkshire,"","","","February,March,April,May,June,July,August,September,October,November,December,January","",http://www.robroydfarmshop.co.uk/,"","","","","","","","","",1,"","","","","","","",1,"","","","Newly opened farm shop on land owned by the farm; stone building with in-house bakery, butchery and deli. Farm produces fruit and veg, beef, lamb, pork and eggs.  Bakery produces speciality breads e.g.using Spelt flour, own pies, cakes and ready meals. Making own sausages, curing bacon on site; deli has wide range of cooked meats and cheeses. Also a range of home-made preserves.",Farm Shop,"",FARMA Rising Star 2012,Robert White,""
COWDRAY FARM SHOP,01730 812799,50.99663,-0.728394,GU29 0AJ,Cowdray Park,Midhurst,West Sussex,"","","","February,March,April,May,June,July,August,September,October,November,December,January","",http://www.cowdrayfarmshop.co.uk,1,"","",1,"","","","","",1,"","","","","","","",1,"","","","Farm shop and cafe, with on-site butcher - meat is from the Cowdray Estate. Bakery on site, using flour from the Cowdray Estate. Lots of lovely local food.","Farm Shop,On-farm Cafe,Farm Accomodation","",FARMA on-farm Cafe-Restaurant of the Year 2012,Fiona Hamilton-Fox,""
CWMCERRIG FARM SHOP & GRILL,01269 844 405,51.80187,-4.06702,SA14 7HU,Gorslas,Llanelli,Carmarthenshire,"","","","February,March,April,May,June,July,August,September,October,November,December,January","","","","","",1,"","","","","",1,"","","","","","","",1,"","","","Farm Shop opened on 19 February 2009 based on the Watkins family farm. Famous locally for fruit and veg delivery, farm shop sells own beef and lamb, turkeys, chickens, eggs and local produce from Carmarthenshire and a little further afield.","Farm Shop,On-farm Cafe","",FARMA Best Farm Retail Newcomer 2012,Roland Watkins,""
